# GSE103092.analysis.more.ids3.Rmd 
# 1593285614 
# Input file: geo.datasets/GSE103092/GSE103092.txt 
"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"
"A_23_P51787"	0.1534599	0.00248	3.7724295	-1.3823	1.1566904	"AMPD1"
"A_33_P3248152"	0.8738281	0.527	0.6513869	-6.007536	0.2148418	"AMPD1"
"A_23_P216108"	0.0893068	0.000791	-4.3962964	-0.304927	-1.758282	"ANK1"
"A_23_P70213"	0.4227759	0.0335	-2.3887956	-3.803199	-0.497719	"APC"
"A_23_P203191"	0.8955473	0.585	-0.5604985	-6.063022	-0.4191493	"APOA1"
"A_33_P3298539"	0.9659661	0.848	-0.1959589	-6.204139	-0.121044	"APOA1"
"A_23_P203183"	0.8117424	0.391	0.8881016	-5.827402	0.2283764	"APOC3"
"A_33_P3223592"	0.8314893	0.435	-0.806836	-5.894876	-0.1256841	"APOE"
"A_23_P38244"	0.9037598	0.611	0.5216399	-6.084336	0.1780561	"APOH"
"A_33_P3381127"	0.7310144	0.25	1.2066849	-5.510467	0.6661134	"FAS"
"A_33_P3332112"	0.8755437	0.532	0.6432557	-6.012818	0.2659967	"FAS"
"A_23_P63896"	0.7536794	0.286	1.1142911	-5.610555	0.5921854	"FAS"
"A_23_P113111"	0.7161507	0.232	-1.2564805	-5.453939	-0.3870539	"AR"
"A_23_P256084"	0.9066803	0.622	-0.5061409	-6.092429	-0.1318897	"ARSL"
"A_23_P164436"	0.7155056	0.231	1.2589551	-5.451084	0.329513	"ASPA"
"A_33_P3234580"	0.5431013	0.0809	-1.8987124	-4.587996	-0.4870684	"ASS1"
"A_23_P31921"	0.3932426	0.027	-2.5039122	-3.609017	-0.6405236	"ASS1"
"A_23_P35916"	0.9369933	0.727	-0.3565449	-6.158386	-0.0842439	"ATM"
"A_33_P3589722"	0.6622628	0.17	1.4557067	-5.21088	0.3539852	"ATM"
"A_33_P3210875"	0.271858	0.00942	-3.0641037	-2.634473	-0.7848783	"ATP7A"
"A_33_P3210885"	0.8298752	0.431	-0.8129984	-5.889962	-0.2418384	"ATP7A"
"A_23_P217737"	0.0665342	0.000427	-4.7430875	0.274112	-1.1021844	"ATP7A"
"A_33_P3327772"	0.9834226	0.922	-0.100185	-6.218835	-0.0213941	"ATP7A"
"A_23_P205228"	0.6492098	0.158	-1.5031725	-5.149238	-0.4807058	"ATP7B"
"A_23_P346800"	0.561793	0.0945	-1.8090915	-4.721902	-0.4114049	"AVPR2"
"A_23_P212050"	0.8220429	0.416	0.8421678	-5.866246	0.1706031	"BCHE"
"A_33_P3352873"	0.6876703	0.196	-1.3673287	-5.321923	-0.8732561	"BCKDHB"
"A_23_P93464"	0.6505406	0.159	-1.4976715	-5.156452	-0.8458083	"BCKDHB"
"A_23_P88630"	0.3269886	0.0154	-2.8023029	-3.0945	-1.3763376	"BLM"
"A_23_P99452"	0.8450169	0.464	0.7561517	-5.934017	0.4346069	"BRCA2"
"A_23_P155351"	0.3135357	0.0137	-2.8638721	-2.986841	-0.9683669	"BTD"
"A_33_P3277514"	0.8473411	0.47	-0.7448857	-5.942404	-0.218693	"BTK"
"A_23_P137139"	0.8816576	0.548	-0.6173014	-6.029261	-0.1820274	"BTK"
"A_33_P3413987"	0.738421	0.261	1.177282	-5.543006	0.4371129	"SERPING1"
"A_23_P139123"	0.9931757	0.972	-0.0355852	-6.223387	-0.0147937	"SERPING1"
"A_33_P3413989"	0.8966128	0.59	0.5537628	-6.066821	0.2590305	"SERPING1"
"A_32_P162187"	0.9589991	0.82	0.2321412	-6.196127	0.2081287	"C2"
"A_23_P101407"	0.3596586	0.0208	2.6436014	-3.369874	0.9899694	"C3"
"A_33_P3347869"	0.1133576	0.00128	4.1306894	-0.758734	1.9036371	"C3"
"A_23_P92928"	0.9643422	0.841	-0.2043727	-6.202396	-0.0480294	"C6"
"A_33_P3423854"	0.9397263	0.736	-0.34431	-6.162793	-0.0904475	"C8B"
"A_23_P8913"	0.9973093	0.988	0.0153787	-6.223922	0.0171969	"CA2"
"A_23_P85765"	0.760739	0.3	1.0816849	-5.644336	0.2638554	"CACNA1S"
"A_23_P218190"	0.9645716	0.842	0.203297	-6.202622	0.1215528	"CAPN3"
"A_23_P166306"	0.4020191	0.0291	-2.4643669	-3.676047	-1.2060725	"CBS"
"A_23_P98410"	0.9678046	0.853	0.1885556	-6.205612	0.0524773	"CD3G"
"A_33_P3250680"	0.9306097	0.701	-0.3930387	-6.144347	-0.1351724	"CD40LG"
"A_23_P24997"	0.9044433	0.615	-0.5160862	-6.087263	-0.1094568	"CDK4"
"A_23_P428129"	0.6235868	0.135	1.5998239	-5.019636	0.7010912	"CDKN1C"
"A_33_P3411628"	0.753552	0.286	1.1146788	-5.610148	0.2780718	"CDKN2A"
"A_23_P49376"	0.4917094	0.0576	-2.0908209	-4.289892	-0.5375884	"CETP"
"A_23_P304279"	0.8276016	0.426	0.8237074	-5.881342	0.260088	"CHRNE"
"A_23_P354074"	0.6398685	0.149	1.5390912	-5.101701	0.594707	"LYST"
"A_23_P58521"	0.994898	0.98	0.0257253	-6.223701	0.0128832	"ERCC8"
"A_23_P59772"	0.5943943	0.112	-1.7071705	-4.869673	-0.3391314	"CLCN1"
"A_24_P224966"	0.9920711	0.969	-0.0396517	-6.223228	-0.0102074	"CLCNKB"
"A_23_P92536"	0.9740129	0.88	0.1536378	-6.211801	0.0324779	"CNGA1"
"A_33_P3304668"	0.669866	0.177	-1.4311798	-5.242191	-0.4735224	"COL1A1"
"A_24_P277934"	0.9530971	0.797	0.2628835	-6.188266	0.0442973	"COL1A2"
"A_24_P935491"	0.808308	0.385	0.9004559	-5.816645	0.1698478	"COL3A1"
"A_23_P170679"	0.9438239	0.753	0.3213028	-6.170672	0.1050462	"COL4A3"
"A_33_P3227400"	0.6944508	0.203	-1.3423754	-5.352364	-0.933993	"COL4A4"
"A_23_P83818"	0.8329719	0.437	0.8029804	-5.897934	0.1803669	"COL5A1"
"A_33_P3629678"	0.9763687	0.888	-0.1440802	-6.213275	-0.0306182	"COL5A1"
"A_23_P144071"	0.4887006	0.0557	2.1097604	-4.259766	1.128245	"COL7A1"
"A_24_P264943"	0.5154636	0.0676	-2.0011985	-4.430722	-0.7119254	"COMP"
"A_33_P3343196"	0.8784107	0.539	0.6312038	-6.020532	0.1816704	"CP"
"A_33_P3296587"	0.5898319	0.11	1.7209225	-4.85003	0.3616571	"CP"
"A_33_P3301025"	0.7762972	0.326	-1.0213361	-5.70467	-0.4014713	"CPOX"
"A_23_P148919"	0.6546124	0.163	-1.4834531	-5.175012	-0.533925	"CPT2"
"A_33_P3228266"	0.4456167	0.039	-2.3053285	-3.942055	-0.7354817	"CST3"
"A_23_P154894"	0.5294696	0.0738	1.9515784	-4.507395	0.6418466	"CSTB"
"A_33_P3372332"	0.6665927	0.174	-1.4410136	-5.229682	-0.2081436	"CYBA"
"A_33_P3376478"	0.7519455	0.283	1.1215163	-5.602958	0.4686056	"CYP17A1"
"A_33_P3290343"	0.8197942	0.411	0.8508552	-5.85904	0.4742663	"CYP1B1"
"A_23_P209625"	0.848118	0.472	0.7420032	-5.944532	0.4012101	"CYP1B1"
"A_23_P143734"	0.8571799	0.489	0.7135743	-5.96511	0.1631733	"CYP2D6"
"A_23_P155123"	0.5345124	0.0767	1.929062	-4.541865	0.6386983	"CYP2D6"
"A_33_P3383955"	0.696315	0.206	-1.3330632	-5.363618	-0.4215676	"DDB2"
"A_23_P52610"	0.806022	0.38	-0.9100605	-5.808193	-0.2589119	"DDB2"
"A_33_P3344579"	0.9051411	0.617	-0.5133402	-6.088699	-0.2134558	"DLD"
"A_23_P135548"	0.6176438	0.13	-1.6215027	-4.989845	-0.8629084	"DPYD"
"A_23_P123228"	0.7793147	0.332	-1.0100306	-5.71565	-0.1772606	"SLC26A3"
"A_33_P3277447"	0.4842174	0.0538	-2.1283401	-4.230094	-0.3926777	"SLC26A2"
"A_33_P3313889"	0.6890399	0.197	-1.3640163	-5.325987	-0.3016053	"TOR1A"
"A_33_P3397288"	0.6900038	0.199	-1.3552682	-5.336687	-0.2810323	"EDN3"
"A_23_P62371"	0.9433841	0.752	-0.3234329	-6.169965	-0.0739818	"TAZ"
"A_23_P85171"	0.5230221	0.0711	1.972332	-4.475444	0.6199704	"EMD"
"A_23_P83328"	0.625017	0.136	-1.5953617	-5.025736	-1.0485073	"ENG"
"A_23_P140675"	0.9424532	0.749	0.3269262	-6.168796	0.1086693	"EPB42"
"A_23_P34537"	0.5419887	0.0804	1.9021523	-4.582787	0.8516813	"EPHX1"
"A_23_P367899"	0.8836337	0.553	0.6090236	-6.034372	0.1603347	"EPOR"
"A_23_P5325"	0.98624	0.937	0.0808634	-6.22065	0.0198102	"ERCC3"
"A_23_P117225"	0.9805916	0.907	-0.1190379	-6.216692	-0.0305519	"ERCC5"
"A_23_P1292"	0.7050433	0.218	1.2986058	-5.404754	0.240293	"ERCC6"
"A_24_P383478"	0.7100482	0.225	-1.2764155	-5.430817	-0.333748	"ESR1"
"A_23_P309739"	0.7042306	0.217	1.3013284	-5.401533	0.2306489	"ESR1"
"A_32_P119616"	0.7854206	0.343	-0.9847849	-5.739797	-0.3034624	"ETFA"
"A_23_P43273"	0.5240009	0.0714	-1.9697386	-4.479446	-0.6733899	"EXT1"
"A_33_P3378556"	0.7702455	0.316	-1.0455044	-5.680853	-0.4118311	"F11"
"A_23_P41314"	0.7733245	0.321	-1.0326157	-5.693612	-0.2220027	"F11"
"A_32_P140139"	0.834481	0.441	-0.7957	-5.903672	-0.1644904	"F13A1"
"A_33_P3416097"	0.9073734	0.625	-0.5006378	-6.095247	-0.2304588	"F13A1"
"A_32_P41604"	0.6443788	0.153	1.5234197	-5.122535	0.4920554	"F5"
"A_23_P117298"	0.8188661	0.406	0.8594092	-5.851879	0.1701693	"F7"
"A_24_P314451"	0.5908264	0.11	-1.7185415	-4.853438	-0.3729255	"F8"
"A_33_P3390411"	0.4586803	0.0442	2.2365872	-4.055028	0.7416372	"F9"
"A_23_P391711"	0.9758389	0.885	0.1471198	-6.212817	0.0450844	"FABP2"
"A_23_P206441"	0.1079325	0.00114	4.19518	-0.647803	0.8111384	"FANCA"
"A_23_P32021"	0.8584067	0.492	-0.7072179	-5.96961	-0.2855457	"FANCC"
"A_23_P129221"	0.641533	0.15	-1.5320615	-5.111064	-0.4490639	"FAH"
"A_33_P3348239"	0.8649165	0.506	0.6853192	-5.98483	0.1506922	"FBN1"
"A_33_P3295313"	0.7521153	0.284	1.1199345	-5.604625	0.2275774	"MS4A2"
"A_23_P1904"	0.8625865	0.501	0.6937893	-5.978995	0.2179249	"MS4A2"
"A_23_P500501"	0.6347294	0.145	-1.5565085	-5.078379	-0.7979065	"FGFR3"
"A_23_P212830"	0.8486855	0.473	-0.7402257	-5.94584	-0.1414098	"FGFR3"
"A_23_P34733"	0.7690218	0.314	-1.048969	-5.677401	-0.2983661	"FH"
"A_33_P3279600"	0.7817579	0.336	0.9996955	-5.725598	0.5367375	"FSHR"
"A_23_P108699"	0.8912494	0.57	0.5828872	-6.050083	0.1018755	"FSHR"
"A_32_P155247"	0.7568029	0.292	1.0991652	-5.626328	0.3927034	"FTL"
"A_23_P50504"	0.7699355	0.315	1.0460153	-5.680345	0.3771673	"FTL"
"A_19_P00812340"	0.4586803	0.0442	2.2368786	-4.054552	0.5374694	"FTL"
"A_23_P11543"	0.8633825	0.502	-0.6914448	-5.980617	-0.7081187	"FUCA1"
"A_23_P107963"	0.840461	0.453	-0.7750331	-5.919704	-0.3183664	"FUT1"
"A_23_P360316"	0.9432995	0.751	0.324346	-6.169661	0.2076117	"FUT3"
"A_33_P3222228"	0.9297668	0.695	0.4008362	-6.141175	0.0895954	"FUT6"
"A_33_P3210288"	0.8936153	0.578	0.5714206	-6.05677	0.1684574	"FUT6"
"A_23_P385017"	0.8476056	0.471	0.7441908	-5.942918	0.232321	"G6PC"
"A_23_P153026"	0.7092119	0.224	-1.2806619	-5.425856	-0.725163	"GAA"
"A_23_P25964"	0.181404	0.00351	-3.5868916	-1.709032	-0.8707149	"GALC"
"A_23_P141126"	0.9050024	0.616	-0.5144921	-6.088098	-0.1584921	"GALK1"
"A_23_P502035"	0.7017501	0.214	-1.309616	-5.391698	-0.4227627	"GALT"
"A_23_P121082"	0.9458477	0.761	0.3102991	-6.174251	0.0859255	"GBE1"
"A_33_P3409467"	0.6235868	0.135	1.598689	-5.021188	0.4448297	"GCGR"
"A_24_P167642"	0.1195191	0.00141	4.079521	-0.847063	1.8217169	"GCH1"
"A_33_P3342260"	0.8665987	0.509	0.6794504	-5.988833	0.123431	"GCK"
"A_24_P72064"	0.9958512	0.983	0.0212726	-6.22381	0.008857	"GHR"
"A_24_P373768"	0.8212342	0.413	0.8462354	-5.86288	0.1688762	"GIPR"
"A_24_P55295"	0.8595301	0.495	0.7030144	-5.972566	0.2149908	"GJA1"
"A_24_P404840"	0.9786664	0.899	-0.129311	-6.215369	-0.0420344	"GJB1"
"A_32_P172848"	0.2988428	0.0118	2.9436141	-2.846867	1.0187428	"GK"
"A_33_P3290562"	0.4131363	0.0312	2.4271634	-3.738804	1.2043983	"GLI3"
"A_23_P45475"	0.5998321	0.116	1.6890371	-4.895428	0.6383444	"GLA"
"A_23_P123596"	0.9187072	0.661	0.449705	-6.119914	0.0719223	"GLDC"
"A_23_P156261"	0.8926225	0.575	-0.5763573	-6.053906	-0.1118391	"GLRA1"
"A_23_P166884"	0.9255804	0.681	-0.4208054	-6.132774	-0.1401118	"GNAT1"
"A_24_P270829"	0.8738281	0.527	-0.650937	-6.00783	-0.1329961	"GP1BA"
"A_33_P3383226"	0.8880244	0.563	-0.5939366	-6.04352	-0.285804	"GP9"
"A_24_P108451"	0.9384017	0.733	-0.3492124	-6.161046	-0.094514	"GPI"
"A_23_P210920"	0.4984333	0.0605	-2.0632978	-4.333449	-0.3414872	"GSS"
"A_23_P102202"	0.2686715	0.00909	-3.0828144	-2.601416	-0.76378	"MSH6"
"A_23_P130259"	0.671364	0.178	-1.4260642	-5.248675	-0.6696074	"GUCY2D"
"A_23_P334608"	0.6179952	0.13	-1.6203224	-4.991473	-0.4741706	"GUSB"
"A_24_P242688"	0.7602525	0.299	-1.0840379	-5.641926	-0.2020307	"HADHA"
"A_21_P0013806"	0.7017348	0.214	-1.3097957	-5.391484	-0.3179779	"HADHB"
"A_23_P79703"	0.8131968	0.393	-0.8844768	-5.830533	-0.184812	"HADHB"
"A_33_P3241511"	0.5563112	0.0894	-1.8412187	-4.674309	-0.7173427	"SERPIND1"
"A_23_P114740"	0.5154636	0.0676	2.000986	-4.431052	1.5906645	"CFH"
"A_23_P250164"	0.4554538	0.0428	2.2552057	-4.02456	1.684828	"HGD"
"A_32_P175739"	0.1705465	0.00302	3.6669635	-1.567787	0.7548417	"HK2"
"A_33_P3214670"	0.6751156	0.182	1.4122305	-5.266125	0.3414021	"HK2"
"A_23_P98431"	0.1465938	0.00226	-3.8215636	-1.29614	-0.6575397	"HMBS"
"A_23_P145"	0.9600217	0.823	-0.2279587	-6.197122	-0.0677045	"HMGCL"
"A_24_P30557"	0.9235568	0.675	-0.4290523	-6.129188	-0.1077066	"TBX5"
"A_23_P111657"	0.8412192	0.455	-0.7718299	-5.922155	-0.166249	"SHH"
"A_23_P11372"	0.6641552	0.171	-1.4517555	-5.215949	-0.3031117	"HPRT1"
"A_24_P415327"	0.8507463	0.477	-0.7330128	-5.951119	-0.2538883	"HPS1"
"A_23_P328069"	0.9041627	0.612	0.5197328	-6.085345	0.1693771	"HPS1"
"A_23_P14986"	0.8705738	0.518	-0.6656602	-5.998115	-0.1846047	"HSD11B2"
"A_23_P43415"	0.3626727	0.0212	2.6341903	-3.386091	0.6141574	"HSD17B3"
"A_33_P3418662"	0.8982156	0.595	-0.5459335	-6.071182	-0.236072	"HSD17B3"
"A_23_P51580"	0.7143087	0.229	-1.2640478	-5.445194	-0.4101795	"HSD3B2"
"A_23_P254254"	0.9283481	0.69	-0.4078221	-6.138281	-0.2906757	"SGSH"
"A_23_P212945"	0.7172031	0.234	-1.2511953	-5.460022	-0.3743044	"HTN3"
"A_23_P153320"	0.0058075	6.18e-06	7.4387035	4.132699	1.7816774	"ICAM1"
"A_33_P3392087"	0.8468692	0.469	-0.7466298	-5.941113	-0.1881022	"IDUA"
"A_23_P7212"	0.912538	0.64	-0.4796418	-6.105724	-0.1160547	"CFI"
"A_24_P92472"	0.9728259	0.877	0.158438	-6.211025	0.0326312	"CFI"
"A_23_P148473"	0.9652073	0.845	0.1996251	-6.203388	0.1113417	"IL2RG"
"A_33_P3290394"	0.9240122	0.677	0.4271922	-6.130003	0.2442254	"IL2RG"
"A_23_P1981"	0.986747	0.942	-0.0738545	-6.221213	-0.0173518	"INS"
"A_33_P3335725"	0.5518512	0.087	-1.85699	-4.650776	-0.4645239	"INSR"
"A_23_P65189"	0.7473679	0.276	-1.139848	-5.583508	-0.2935267	"PDX1"
"A_33_P3231447"	0.8298752	0.431	0.8133119	-5.889711	0.2470528	"ITGA6"
"A_23_P210176"	0.9920258	0.969	0.0399297	-6.223217	0.017188	"ITGA6"
"A_23_P329573"	0.7062998	0.219	-1.2947194	-5.409343	-0.2531562	"ITGB2"
"A_24_P318656"	0.9517774	0.789	0.2736048	-6.185297	0.1610356	"ITGB3"
"A_33_P3377364"	0.1747179	0.00318	-3.6400798	-1.615173	-1.060775	"ITGB4"
"A_23_P210763"	0.8563516	0.487	0.7158554	-5.963486	0.2709368	"JAG1"
"A_24_P59667"	0.9342056	0.712	-0.3781401	-6.15024	-0.3270506	"JAK3"
"A_23_P329112"	0.749772	0.28	-1.1296405	-5.59437	-0.2399423	"JAK3"
"A_23_P429950"	0.7357716	0.257	-1.1883152	-5.53087	-1.0028163	"ANOS1"
"A_21_P0013883"	0.9129231	0.641	-0.4783172	-6.10637	-0.3276928	"ANOS1"
"A_23_P48229"	0.7163845	0.232	1.2549138	-5.455744	0.3257466	"KCNA1"
"A_24_P498652"	0.7310322	0.25	1.2064595	-5.510719	0.2550919	"KCNA1"
"A_23_P429977"	0.4071778	0.0301	-2.4452705	-3.708297	-0.9814007	"KCNQ1"
"A_23_P154855"	0.635511	0.145	1.5538642	-5.081931	1.105576	"KCNE1"
"A_33_P3309984"	0.4243957	0.0339	-2.3822087	-3.81422	-0.7216054	"KHK"
"A_23_P110253"	0.6404042	0.15	-1.535642	-5.106298	-0.9249279	"KIT"
"A_33_P3407034"	0.9841002	0.925	-0.0965274	-6.219209	-0.0207891	"KIT"
"A_23_P55448"	0.8608462	0.497	-0.6989526	-5.975406	-0.127078	"KRT12"
"A_32_P151544"	0.550453	0.0859	1.8641876	-4.64	1.1336859	"KRT18"
"A_24_P42136"	0.6920875	0.201	1.3500398	-5.343058	0.6690612	"KRT18"
"A_23_P15734"	0.4430736	0.0383	-2.3154573	-3.925299	-0.4657899	"KRT9"
"A_23_P218237"	0.7601737	0.298	1.0868974	-5.638991	0.2103755	"LCAT"
"A_24_P397817"	0.9826367	0.917	-0.1068415	-6.218121	-0.0173023	"LEP"
"A_23_P423237"	0.693143	0.202	-1.3473189	-5.346366	-0.7243703	"SGCG"
"A_33_P3357843"	0.9351444	0.715	0.3735024	-6.152029	0.1301485	"SGCB"
"A_23_P102286"	0.9907318	0.961	0.0502825	-6.222732	0.0115261	"LHCGR"
"A_23_P39116"	0.612018	0.125	1.6433394	-4.95958	0.4321015	"LIG1"
"A_23_P97860"	0.9301565	0.699	-0.3955108	-6.143348	-0.1376167	"LIPA"
"A_23_P88559"	0.8945049	0.581	-0.5672027	-6.059198	-0.3455189	"LIPC"
"A_23_P146233"	0.4836306	0.0536	-2.1307668	-4.22621	-1.0533119	"LPL"
"A_23_P168403"	0.9043214	0.614	-0.5177588	-6.086385	-0.3897545	"KCNH2"
"A_33_P3242543"	0.872121	0.522	0.6595078	-6.002199	0.1640913	"MAOA"
"A_23_P35529"	0.988956	0.952	0.0614731	-6.222083	0.0263251	"MBL2"
"A_23_P140967"	0.8412192	0.455	0.7718376	-5.922149	0.24516	"MEFV"
"A_23_P359245"	0.1152005	0.00132	4.1143532	-0.786904	1.9252402	"MET"
"A_32_P209960"	0.9040343	0.612	0.5204569	-6.084962	0.2499294	"CIITA"
"A_33_P3324394"	0.8753287	0.531	0.6441714	-6.012226	0.1936377	"CIITA"
"A_33_P3368452"	0.1493671	0.00234	3.8043534	-1.3263	0.7493336	"MICA"
"A_33_P3368453"	0.0678664	0.000446	4.718252	0.233197	0.9222023	"MICA"
"A_33_P3419720"	0.3038769	0.0123	-2.9215612	-2.885632	-0.5709475	"MLH1"
"A_23_P69058"	0.4334368	0.0356	-2.355241	-3.85923	-0.5050957	"MLH1"
"A_23_P141173"	0.7155056	0.231	-1.2589007	-5.451146	-1.0377926	"MPO"
"A_23_P102471"	0.0961139	0.000895	-4.3278774	-0.421029	-1.0962587	"MSH2"
"A_33_P3287502"	0.2313292	0.00624	-3.2812374	-2.250139	-0.9833209	"MSH2"
"A_23_P62133"	0.4136263	0.0313	-2.4243781	-3.74349	-0.6263994	"MTM1"
"A_33_P3215457"	0.177617	0.00329	3.6221797	-1.646745	0.6651605	"MTTP"
"A_23_P200936"	0.4887006	0.0558	-2.1079914	-4.262585	-0.4288292	"MTR"
"A_24_P67806"	0.6462403	0.154	-1.5164902	-5.131701	-0.4811573	"MTR"
"A_33_P3389917"	0.8559916	0.487	-0.7168897	-5.962748	-0.1872256	"MTR"
"A_23_P400235"	0.757842	0.294	-1.0952622	-5.630369	-0.2060392	"MMUT"
"A_23_P127385"	0.282218	0.0102	3.0228295	-2.707331	1.1303957	"MYBPC3"
"A_33_P3266964"	0.6291822	0.14	-1.5768779	-5.050886	-0.6833468	"MYH7"
"A_24_P282383"	0.4887006	0.0561	2.1054788	-4.266587	0.588768	"MYH7"
"A_24_P131646"	0.5272038	0.0728	-1.9587352	-4.496396	-0.4879699	"MYL3"
"A_24_P255218"	0.7148228	0.23	-1.2608154	-5.448934	-0.6326385	"MYO5A"
"A_23_P422350"	0.93655	0.725	-0.3601387	-6.157063	-0.2684061	"MYO7A"
"A_23_P98786"	0.8064831	0.382	-0.9065881	-5.811258	-0.7841816	"MYO7A"
"A_23_P23783"	0.9408581	0.743	0.3355563	-6.165854	0.0661399	"MYOC"
"A_24_P408457"	0.4635891	0.0462	-2.213137	-4.093259	-0.9271899	"NAGA"
"A_33_P3349444"	0.491112	0.0572	-2.0946451	-4.283819	-0.7197938	"NAGA"
"A_23_P26945"	0.8070097	0.383	-0.9043584	-5.813221	-0.2889207	"NAGLU"
"A_33_P3369393"	0.0041386	3.46e-06	7.8621144	4.634524	3.7550723	"NCF1"
"A_33_P3211432"	0.0081912	1.1e-05	7.0317594	3.624925	3.7085996	"NCF1"
"A_23_P42746"	0.0045387	4.03e-06	7.7505492	4.504857	3.761688	"NCF1"
"A_33_P3224803"	0.0081912	1.09e-05	7.0405471	3.63616	3.5755393	"NCF1"
"A_23_P73609"	0.8332883	0.438	0.8010123	-5.89949	0.5500612	"NDP"
"A_21_P0011345"	0.8419199	0.457	0.7673446	-5.925571	0.1570494	"NF1"
"A_33_P3240348"	0.7414877	0.267	1.1612995	-5.560426	0.3089295	"NF1"
"A_21_P0012236"	0.7341873	0.255	1.1942854	-5.524266	0.3814611	"NF1"
"A_24_P1919"	0.798547	0.366	0.9371933	-5.783896	0.3120374	"NF1"
"A_23_P140256"	0.9308624	0.702	-0.391374	-6.145017	-0.1882555	"PNP"
"A_23_P107587"	0.3380169	0.0173	2.7411768	-3.20096	0.6610404	"NPC1"
"A_24_P88801"	0.9326685	0.707	-0.3844342	-6.147778	-0.2294164	"NPHP1"
"A_23_P45560"	0.9875081	0.945	0.0703053	-6.221479	0.0159	"GPR143"
"A_23_P98092"	0.8188661	0.407	-0.8579443	-5.85311	-0.2491938	"OAT"
"A_33_P3236109"	0.7653342	0.307	1.0642464	-5.662065	0.2337062	"OCA2"
"A_23_P129133"	0.981483	0.912	-0.1127148	-6.217452	-0.0243089	"OCA2"
"A_23_P32903"	0.8287942	0.429	-0.8170081	-5.886746	-0.2351985	"OCRL"
"A_23_P2501"	0.8614608	0.498	-0.6970953	-5.9767	-0.2240716	"PAH"
"A_33_P3330149"	0.3634438	0.0213	-2.6309679	-3.391641	-1.1859417	"PAX6"
"A_33_P3665346"	0.9619946	0.831	0.2184352	-6.19932	0.0520854	"PAX6"
"A_33_P3306267"	0.5063837	0.0635	-2.0361075	-4.376215	-0.4352755	"PAX6"
"A_23_P367405"	0.8978321	0.593	0.5482506	-6.069898	0.1537751	"PCBD1"
"A_23_P48358"	0.8764553	0.534	-0.6396991	-6.015108	-0.1954136	"PCCA"
"A_23_P10743"	0.8582999	0.492	-0.7075749	-5.969359	-0.2416306	"PDE6B"
"A_23_P251095"	0.7985717	0.367	-0.9367742	-5.784276	-0.2583367	"PDHA1"
"A_23_P83436"	0.8716043	0.52	-0.6618533	-6.000646	-0.1880387	"PEPD"
"A_24_P416411"	0.678895	0.187	-1.3971914	-5.284958	-0.3820706	"PEX12"
